x-axis,1,2,REF1
second,Volt,Volt,Volt
-973.7500E-06,+3.6432160E-03,+64.0703511E-03,+0.0E+00
-973.6250E-06,+4.5226130E-03,+63.4422104E-03,+0.0E+00
-973.5000E-06,+4.3969849E-03,+63.1909541E-03,+0.0E+00
-973.3750E-06,+4.3969849E-03,+62.4371853E-03,+0.0E+00
-973.2500E-06,+3.2663316E-03,+62.8140697E-03,+0.0E+00
-973.1250E-06,+4.6482412E-03,+62.9396978E-03,+0.0E+00
-973.0000E-06,+3.6432160E-03,+61.8090446E-03,+0.0E+00
-972.8750E-06,+4.3969849E-03,+62.6884415E-03,+0.0E+00
-972.7500E-06,+4.7738693E-03,+64.8241199E-03,+0.0E+00
-972.6250E-06,+4.3969849E-03,+64.1959792E-03,+0.0E+00
-972.5000E-06,+4.0201005E-03,+63.0653260E-03,+0.0E+00
-972.3750E-06,+4.7738693E-03,+62.3115571E-03,+0.0E+00
-972.2500E-06,+4.5226130E-03,+62.8140697E-03,+0.0E+00
-972.1250E-06,+4.6482412E-03,+63.9447229E-03,+0.0E+00
-972.0000E-06,+4.5226130E-03,+63.5678385E-03,+0.0E+00
-971.8750E-06,+5.0251256E-03,+63.9447229E-03,+0.0E+00
-971.7500E-06,+5.1507537E-03,+63.3165822E-03,+0.0E+00
-971.6250E-06,+4.6482412E-03,+63.4422104E-03,+0.0E+00
-971.5000E-06,+4.6482412E-03,+62.8140697E-03,+0.0E+00
-971.3750E-06,+4.5226130E-03,+63.0653260E-03,+0.0E+00
-971.2500E-06,+5.5276381E-03,+63.0653260E-03,+0.0E+00
-971.1250E-06,+5.0251256E-03,+63.5678385E-03,+0.0E+00
-971.0000E-06,+4.7738693E-03,+63.8190948E-03,+0.0E+00
-970.8750E-06,+5.0251256E-03,+62.8140697E-03,+0.0E+00
-970.7500E-06,+5.0251256E-03,+61.9346727E-03,+0.0E+00
-970.6250E-06,+5.2763819E-03,+63.6934667E-03,+0.0E+00
-970.5000E-06,+5.0251256E-03,+63.5678385E-03,+0.0E+00
-970.3750E-06,+5.9045225E-03,+63.1909541E-03,+0.0E+00
-970.2500E-06,+5.7788944E-03,+63.6934667E-03,+0.0E+00
-970.1250E-06,+5.2763819E-03,+63.8190948E-03,+0.0E+00
-970.0000E-06,+6.0301507E-03,+63.0653260E-03,+0.0E+00
-969.8750E-06,+6.2814070E-03,+63.4422104E-03,+0.0E+00
-969.7500E-06,+5.7788944E-03,+63.4422104E-03,+0.0E+00
-969.6250E-06,+6.4070351E-03,+62.8140697E-03,+0.0E+00
-969.5000E-06,+5.2763819E-03,+63.6934667E-03,+0.0E+00
-969.3750E-06,+4.8994974E-03,+63.3165822E-03,+0.0E+00
-969.2500E-06,+6.6582914E-03,+62.8140697E-03,+0.0E+00
-969.1250E-06,+6.4070351E-03,+63.4422104E-03,+0.0E+00
-969.0000E-06,+6.1557788E-03,+63.4422104E-03,+0.0E+00
-968.8750E-06,+6.4070351E-03,+63.1909541E-03,+0.0E+00
