Freq.,Vu_out/Vu_in
1.17489755493953e+000,1.54511543425486e+001,1.49685266879511e+002
1.17760597352080e+000,1.54887267014591e+001,1.49627625701199e+002
1.18032063565173e+000,1.55262887844845e+001,1.49569847240290e+002
1.18304155572516e+000,1.55638405490415e+001,1.49511931342146e+002
1.18576874816716e+000,1.56013819524053e+001,1.49453877852321e+002
1.18850222743701e+000,1.56389129517089e+001,1.49395686616567e+002
1.19124200802737e+000,1.56764335039434e+001,1.49337357480841e+002
1.19398810446427e+000,1.57139435659573e+001,1.49278890291301e+002
1.19674053130724e+000,1.57514430944563e+001,1.49220284894321e+002
1.19949930314937e+000,1.57889320460030e+001,1.49161541136486e+002
1.20226443461741e+000,1.58264103770167e+001,1.49102658864600e+002
1.20503594037179e+000,1.58638780437732e+001,1.49043637925693e+002
1.20781383510677e+000,1.59013350024042e+001,1.48984478167020e+002
1.21059813355048e+000,1.59387812088976e+001,1.48925179436068e+002
1.21338885046497e+000,1.59762166190965e+001,1.48865741580563e+002
1.21618600064636e+000,1.60136411886997e+001,1.48806164448469e+002
1.21898959892486e+000,1.60510548732607e+001,1.48746447887996e+002
1.22179966016487e+000,1.60884576281881e+001,1.48686591747604e+002
1.22461619926504e+000,1.61258494087449e+001,1.48626595876006e+002
1.22743923115840e+000,1.61632301700483e+001,1.48566460122175e+002
1.23026877081238e+000,1.62005998670697e+001,1.48506184335346e+002
1.23310483322890e+000,1.62379584546341e+001,1.48445768365021e+002
1.23594743344450e+000,1.62753058874203e+001,1.48385212060976e+002
1.23879658653036e+000,1.63126421199599e+001,1.48324515273263e+002
1.24165230759240e+000,1.63499671066380e+001,1.48263677852214e+002
1.24451461177138e+000,1.63872808016922e+001,1.48202699648448e+002
1.24738351424294e+000,1.64245831592127e+001,1.48141580512874e+002
1.25025903021771e+000,1.64618741331419e+001,1.48080320296698e+002
1.25314117494141e+000,1.64991536772743e+001,1.48018918851423e+002
1.25602996369487e+000,1.65364217452564e+001,1.47957376028859e+002
1.25892541179416e+000,1.65736782905860e+001,1.47895691681125e+002
1.26182753459066e+000,1.66109232666123e+001,1.47833865660653e+002
1.26473634747114e+000,1.66481566265357e+001,1.47771897820195e+002
1.26765186585784e+000,1.66853783234075e+001,1.47709788012826e+002
1.27057410520853e+000,1.67225883101295e+001,1.47647536091951e+002
1.27350308101665e+000,1.67597865394541e+001,1.47585141911305e+002
1.27643880881134e+000,1.67969729639838e+001,1.47522605324966e+002
1.27938130415752e+000,1.68341475361711e+001,1.47459926187351e+002
1.28233058265601e+000,1.68713102083184e+001,1.47397104353228e+002
1.28528665994361e+000,1.69084609325774e+001,1.47334139677717e+002
1.28824955169313e+000,1.69455996609495e+001,1.47271032016294e+002
1.29121927361353e+000,1.69827263452849e+001,1.47207781224802e+002
1.29419584144998e+000,1.70198409372830e+001,1.47144387159450e+002
1.29717927098395e+000,1.70569433884918e+001,1.47080849676818e+002
1.30016957803328e+000,1.70940336503078e+001,1.47017168633868e+002
1.30316677845229e+000,1.71311116739759e+001,1.46953343887942e+002
1.30617088813183e+000,1.71681774105892e+001,1.46889375296772e+002
1.30918192299940e+000,1.72052308110885e+001,1.46825262718484e+002
1.31219989901920e+000,1.72422718262627e+001,1.46761006011600e+002
1.31522483219223e+000,1.72793004067479e+001,1.46696605035049e+002
1.31825673855640e+000,1.73163165030279e+001,1.46632059648166e+002
1.32129563418657e+000,1.73533200654334e+001,1.46567369710702e+002
1.32434153519466e+000,1.73903110441424e+001,1.46502535082827e+002
1.32739445772973e+000,1.74272893891796e+001,1.46437555625136e+002
1.33045441797808e+000,1.74642550504163e+001,1.46372431198654e+002
1.33352143216332e+000,1.75012079775704e+001,1.46307161664840e+002
1.33659551654643e+000,1.75381481202061e+001,1.46241746885595e+002
1.33967668742593e+000,1.75750754277339e+001,1.46176186723267e+002
1.34276496113785e+000,1.76119898494100e+001,1.46110481040652e+002
1.34586035405594e+000,1.76488913343367e+001,1.46044629701007e+002
1.34896288259164e+000,1.76857798314620e+001,1.45978632568047e+002
1.35207256319427e+000,1.77226552895793e+001,1.45912489505959e+002
1.35518941235103e+000,1.77595176573273e+001,1.45846200379400e+002
1.35831344658714e+000,1.77963668831903e+001,1.45779765053507e+002
1.36144468246594e+000,1.78332029154975e+001,1.45713183393902e+002
1.36458313658891e+000,1.78700257024229e+001,1.45646455266694e+002
1.36772882559584e+000,1.79068351919855e+001,1.45579580538490e+002
1.37088176616484e+000,1.79436313320491e+001,1.45512559076397e+002
1.37404197501251e+000,1.79804140703220e+001,1.45445390748030e+002
1.37720946889394e+000,1.80171833543567e+001,1.45378075421512e+002
1.38038426460287e+000,1.80539391315503e+001,1.45310612965489e+002
1.38356637897177e+000,1.80906813491440e+001,1.45243003249127e+002
1.38675582887188e+000,1.81274099542231e+001,1.45175246142124e+002
