Freq.,Vu_out/Vu_in
1.55596563160506e+000,-1.17075890648504e+001,1.63408393568690e+002
1.55955250282694e+000,-1.16683930886311e+001,1.63419401210526e+002
1.56314764264094e+000,-1.16291944608726e+001,1.63430326413434e+002
1.56675107010813e+000,-1.15899931969968e+001,1.63441169202133e+002
1.57036280433354e+000,-1.15507893124586e+001,1.63451929601221e+002
1.57398286446620e+000,-1.15115828226564e+001,1.63462607634721e+002
1.57761126969933e+000,-1.14723737428883e+001,1.63473203326854e+002
1.58124803927037e+000,-1.14331620884601e+001,1.63483716701012e+002
1.58489319246110e+000,-1.13939478745965e+001,1.63494147781295e+002
1.58854674859776e+000,-1.13547311164930e+001,1.63504496590620e+002
1.59220872705115e+000,-1.13155118293523e+001,1.63514763152362e+002
1.59587914723672e+000,-1.12762900282112e+001,1.63524947489594e+002
1.59955802861465e+000,-1.12370657282793e+001,1.63535049625063e+002
1.60324539069002e+000,-1.11978389444683e+001,1.63545069580905e+002
1.60694125301286e+000,-1.11586096918673e+001,1.63555007379709e+002
1.61064563517825e+000,-1.11193779853962e+001,1.63564863043639e+002
1.61435855682647e+000,-1.10801438399778e+001,1.63574636594496e+002
1.61808003764305e+000,-1.10409072704474e+001,1.63584328053904e+002
1.62181009735891e+000,-1.10016682917498e+001,1.63593937443375e+002
1.62554875575047e+000,-1.09624269185671e+001,1.63603464784055e+002
1.62929603263970e+000,-1.09231831657351e+001,1.63612910096865e+002
1.63305194789432e+000,-1.08839370480093e+001,1.63622273402704e+002
1.63681652142779e+000,-1.08446885799078e+001,1.63631554722122e+002
1.64058977319952e+000,-1.08054377762463e+001,1.63640754075373e+002
1.64437172321491e+000,-1.07661846515304e+001,1.63649871482348e+002
1.64816239152549e+000,-1.07269292203439e+001,1.63658906963256e+002
1.65196179822900e+000,-1.06876714972431e+001,1.63667860537709e+002
1.65576996346951e+000,-1.06484114966668e+001,1.63676732224898e+002
1.65958690743754e+000,-1.06091492331502e+001,1.63685522044147e+002
1.66341265037015e+000,-1.05698847210379e+001,1.63694230014344e+002
1.66724721255104e+000,-1.05306179747351e+001,1.63702856154169e+002
1.67109061431069e+000,-1.04913490085138e+001,1.63711400482097e+002
1.67494287602642e+000,-1.04520778367804e+001,1.63719863016428e+002
1.67880401812254e+000,-1.04128044738098e+001,1.63728243775265e+002
1.68267406107045e+000,-1.03735289337321e+001,1.63736542776185e+002
1.68655302538872e+000,-1.03342512307719e+001,1.63744760036788e+002
1.69044093164324e+000,-1.02949713790917e+001,1.63752895574382e+002
1.69433780044731e+000,-1.02556893928677e+001,1.63760949406084e+002
1.69824365246172e+000,-1.02164052861659e+001,1.63768921548711e+002
1.70215850839493e+000,-1.01771190729571e+001,1.63776812018526e+002
1.70608238900310e+000,-1.01378307673961e+001,1.63784620832268e+002
1.71001531509027e+000,-1.00985403833400e+001,1.63792348005862e+002
1.71395730750840e+000,-1.00592479347825e+001,1.63799993555043e+002
1.71790838715757e+000,-1.00199534356697e+001,1.63807557495617e+002
