  Frequency             P(V(N00173)/ V(V3:+)) V(U1:-)               V(U1:+)              
  1.253141174941e+000  -7.193669574239e-005  9.999632541824e-001  1.000000000000e+000  
  1.256029963695e+000  -7.210252695261e-005  9.999632541824e-001  1.000000000000e+000  
  1.258925411794e+000  -7.226874044326e-005  9.999632541824e-001  1.000000000000e+000  
  1.261827534591e+000  -7.243533709557e-005  9.999632541824e-001  1.000000000000e+000  
  1.264736347471e+000  -7.260231779283e-005  9.999632541824e-001  1.000000000000e+000  
  1.267651865858e+000  -7.276968342035e-005  9.999632541824e-001  1.000000000000e+000  
  1.270574105209e+000  -7.293743486549e-005  9.999632541824e-001  1.000000000000e+000  
  1.273503081017e+000  -7.310557301764e-005  9.999632541824e-001  1.000000000000e+000  
  1.276438808811e+000  -7.327409876827e-005  9.999632541824e-001  1.000000000000e+000  
  1.279381304158e+000  -7.344301301087e-005  9.999632541824e-001  1.000000000000e+000  
  1.282330582656e+000  -7.361231664102e-005  9.999632541824e-001  1.000000000000e+000  
  1.285286659944e+000  -7.378201055635e-005  9.999632541824e-001  1.000000000000e+000  
  1.288249551693e+000  -7.395209565654e-005  9.999632541824e-001  1.000000000000e+000  
  1.291219273614e+000  -7.412257284339e-005  9.999632541824e-001  1.000000000000e+000  
  1.294195841450e+000  -7.429344302074e-005  9.999632541824e-001  1.000000000000e+000  
  1.297179270984e+000  -7.446470709453e-005  9.999632541824e-001  1.000000000000e+000  
  1.300169578033e+000  -7.463636597279e-005  9.999632541824e-001  1.000000000000e+000  
  1.303166778452e+000  -7.480842056562e-005  9.999632541824e-001  1.000000000000e+000  
  1.306170888132e+000  -7.498087178526e-005  9.999632541824e-001  1.000000000000e+000  
  1.309181922999e+000  -7.515372054601e-005  9.999632541824e-001  1.000000000000e+000  
  1.312199899019e+000  -7.532696776431e-005  9.999632541824e-001  1.000000000000e+000  
  1.315224832192e+000  -7.550061435870e-005  9.999632541824e-001  1.000000000000e+000  
  1.318256738556e+000  -7.567466124982e-005  9.999632541824e-001  1.000000000000e+000  
  1.321295634187e+000  -7.584910936047e-005  9.999632541824e-001  1.000000000000e+000  
  1.324341535195e+000  -7.602395961554e-005  9.999632541824e-001  1.000000000000e+000  
  1.327394457730e+000  -7.619921294208e-005  9.999632541824e-001  1.000000000000e+000  
  1.330454417978e+000  -7.637487026926e-005  9.999632541824e-001  1.000000000000e+000  
  1.333521432163e+000  -7.655093252840e-005  9.999632541824e-001  1.000000000000e+000  
  1.336595516546e+000  -7.672740065296e-005  9.999632541824e-001  1.000000000000e+000  
