  Time                  V(R3:1)               V(V5:+)               V(U1:OUT)            
  2.164518875122e-003  2.718398531697e-001  1.102233456995e-001  -3.763049129495e+000  
  2.188453811646e-003  2.852312680565e-001  1.645168152810e-001  -4.378126126858e+000  
  2.213453811646e-003  2.947502965360e-001  2.410191434158e-001  -5.240970608436e+000  
  2.238453811646e-003  2.994739263755e-001  2.934930136545e-001  -5.872903643336e+000  
  2.263453811646e-003  2.992858461318e-001  2.911999444815e-001  -5.933665786738e+000  
  2.286012405396e-003  2.949018777905e-001  2.425426623712e-001  -5.477340935109e+000  
  2.311012405396e-003  2.854832004236e-001  1.660895418855e-001  -4.636258719213e+000  
  2.336012405396e-003  2.714973110788e-001  1.095007078571e-001  -3.887638434178e+000  
  2.361012405396e-003  2.532885887684e-001  1.059251317808e-001  -3.590707754828e+000  
  2.386012405396e-003  2.313053926668e-001  1.574573376288e-001  -3.822840705078e+000  
  2.411012405396e-003  2.060890220201e-001  2.339104581145e-001  -4.325889004988e+000  
  2.436012405396e-003  1.782603875620e-001  2.904992921429e-001  -4.666858996569e+000  
  2.461012405396e-003  1.485047226308e-001  2.940748682192e-001  -4.491144975625e+000  
  2.486012405396e-003  1.175547104505e-001  2.425426623712e-001  -3.736381123954e+000  
  2.511012405396e-003  8.617244303817e-002  1.660895418855e-001  -2.671514556268e+000  
  2.536012405396e-003  5.513065596925e-002  1.095007078571e-001  -1.744263081215e+000  
  2.561012405396e-003  2.519370106319e-002  1.059251317808e-001  -1.323328034008e+000  
  2.586012405396e-003  -2.901274495175e-003  1.574573376288e-001  -1.486276897864e+000  
  2.611012405396e-003  -2.846247916572e-002  2.339104581145e-001  -1.978289670727e+000  
  2.636012405396e-003  -5.086051125668e-002  2.904992921429e-001  -2.365668026700e+000  
  2.661012405396e-003  -6.954385688316e-002  2.940748682192e-001  -2.293232615106e+000  
  2.686012405396e-003  -8.405247006939e-002  2.425426623712e-001  -1.695686063001e+000  
  2.711012405396e-003  -9.402910060738e-002  1.660895418855e-001  -8.383640755411e-001  
  2.736012405396e-003  -9.922809074274e-002  1.095007078571e-001  -1.638642704160e-001  
  2.752446121216e-003  -9.997637851828e-002  1.002951290510e-001  -9.716064100604e-003  
  2.769026321411e-003  -9.857257888578e-002  1.173384501664e-001  -1.293731306566e-001  
  2.794026321411e-003  -9.239650340201e-002  1.813431014028e-001  -7.716650947533e-001  
  2.817216629028e-003  -8.242690431289e-002  2.514887449491e-001  -1.572868976447e+000  
